id,name,price,description
1,Volkswagen,7052.42,Down-sized optimizing array
2,Dodge,341.01,Reactive solution-oriented data-warehouse
3,Corbin,8636.79,Public-key next generation forecast
4,Audi,3610.65,Organic responsive local area network
5,Ford,5634.95,Automated responsive approach
6,Pontiac,2419.1,Face to face global monitoring
7,Suzuki,4791.6,Organized zero tolerance definition
8,Kia,1120.2,Public-key client-driven function
9,Plymouth,1000.49,Virtual tangible access
10,Buick,3262.53,Public-key even-keeled encoding
11,Mazda,7634.56,Customizable value-added focus group
12,Jeep,6398.4,Open-architected didactic workforce
13,Dodge,8012.33,Ameliorated methodical algorithm
14,Chevrolet,5734.42,Cross-platform leading edge middleware
15,Mercedes-Benz,2893.71,Self-enabling foreground migration
16,Acura,7689.27,Up-sized disintermediate local area network
17,Dodge,4089.75,Function-based multimedia concept
18,Mazda,2355.23,De-engineered encompassing approach
19,Ford,4055.46,Implemented fault-tolerant interface
20,Audi,7601.59,Organic cohesive structure
21,Nissan,3723.56,Expanded maximized implementation
22,Volvo,5299.94,Synergistic intangible forecast
23,Ford,2908.91,Ameliorated eco-centric model
24,Chevrolet,9749.41,Optional web-enabled product
25,Chevrolet,7817.0,Multi-channelled hybrid capacity
26,GMC,283.81,Implemented analyzing application
27,Lincoln,4130.44,Multi-layered multi-state ability
28,Infiniti,7770.94,Cross-platform zero defect Graphic Interface
29,Cadillac,569.57,Quality-focused systemic framework
30,Infiniti,9225.9,Pre-emptive didactic firmware
31,Chevrolet,7431.25,Self-enabling mission-critical task-force
32,Acura,2818.4,Compatible asynchronous challenge
33,Ford,4601.02,Fully-configurable client-server emulation
34,Pontiac,9153.95,Configurable zero administration installation
35,Pontiac,514.68,Profound value-added encoding
36,Mazda,1712.64,Integrated heuristic system engine
37,Toyota,5977.71,Fully-configurable multi-state workforce
38,GMC,3017.95,Ameliorated zero tolerance customer loyalty
39,BMW,8370.26,Adaptive zero tolerance initiative
40,Volvo,1202.48,Cross-group logistical productivity
41,Toyota,6275.59,Face to face uniform complexity
42,Land Rover,41.04,Down-sized neutral archive
43,Mitsubishi,375.31,Secured exuding collaboration
44,Lexus,1405.08,Synergistic bandwidth-monitored matrices
45,Chevrolet,7445.7,Compatible systemic throughput
46,GMC,9547.38,Exclusive multi-state neural-net
47,Mazda,7595.04,Stand-alone content-based access
48,Mitsubishi,5838.02,Switchable exuding contingency
49,BMW,5523.18,Distributed interactive customer loyalty
50,GMC,3.31,Managed global synergy
51,Eagle,3412.8,Vision-oriented incremental implementation
52,Infiniti,9378.43,Quality-focused national local area network
53,Lexus,2868.1,Distributed stable website
54,Honda,6571.37,Persistent heuristic Graphical User Interface
55,Mitsubishi,4311.99,Up-sized methodical protocol
56,Cadillac,4679.48,Cross-group motivating process improvement
57,Chevrolet,1797.68,Networked grid-enabled customer loyalty
58,Lotus,6977.37,Horizontal impactful synergy
59,Suzuki,5452.68,Function-based high-level projection
60,Saturn,9132.98,Organic context-sensitive database
61,GMC,496.36,Expanded logistical parallelism
62,BMW,6270.22,Cross-platform leading edge matrix
63,Acura,7830.74,Innovative contextually-based interface
64,GMC,7006.53,User-friendly transitional internet solution
65,Mazda,2414.77,Streamlined dynamic ability
66,Infiniti,2108.37,Progressive dynamic array
67,Chrysler,5786.4,Extended scalable hierarchy
68,Mercedes-Benz,1076.48,Reactive neutral middleware
69,Honda,3356.26,Balanced demand-driven orchestration
70,Jaguar,4445.55,Exclusive solution-oriented collaboration
71,Volkswagen,2282.74,Organic client-driven migration
72,Oldsmobile,1337.81,Automated reciprocal synergy
73,GMC,5349.7,Organic local flexibility
74,Ford,8965.73,Re-engineered client-driven ability
75,Mitsubishi,982.2,Fundamental full-range function
76,Chevrolet,842.33,User-friendly even-keeled infrastructure
77,Mercedes-Benz,4753.54,Synergistic dynamic utilisation
78,MINI,8087.62,Realigned local protocol
79,Nissan,1263.74,Open-architected 6th generation pricing structure
80,Chevrolet,7336.53,Configurable national firmware
81,Chevrolet,3778.75,Adaptive discrete complexity
82,Pontiac,4757.72,Re-engineered non-volatile workforce
83,GMC,3843.23,Polarised leading edge artificial intelligence
84,Isuzu,5201.19,Inverse 4th generation middleware
85,Ford,4904.68,Intuitive needs-based framework
86,Ford,4007.42,Configurable analyzing hub
87,Nissan,234.39,Sharable value-added hardware
88,Suzuki,4209.24,Persevering global capability
89,Plymouth,3045.54,Cross-group object-oriented service-desk
90,GMC,8985.76,Reduced bifurcated secured line
91,Saab,1683.5,Reverse-engineered object-oriented benchmark
92,Mazda,4148.06,Expanded didactic interface
93,Ford,4709.6,Innovative well-modulated challenge
94,Mitsubishi,4449.92,Digitized composite implementation
95,Isuzu,4719.03,Expanded intermediate emulation
96,Mercedes-Benz,985.84,Optimized real-time architecture
97,Mitsubishi,9653.28,User-centric radical circuit
98,GMC,3869.47,Enhanced dedicated project
99,Volkswagen,1877.64,Triple-buffered responsive middleware
100,Nissan,2958.85,Integrated maximized concept
101,Lotus,2944.93,Balanced explicit encryption
102,Ford,9747.67,Front-line scalable project
103,Aston Martin,1002.43,Realigned stable circuit
104,Mitsubishi,8510.0,Open-source context-sensitive workforce
105,Maybach,4444.62,Operative bottom-line software
106,Jaguar,4080.8,Re-engineered radical Graphical User Interface
107,Hummer,2666.65,Profound mobile moderator
108,Dodge,887.22,Reduced 24 hour standardization
109,Chevrolet,6509.84,Future-proofed asymmetric initiative
110,Chevrolet,5106.87,Automated foreground intranet
111,GMC,862.99,Customizable optimizing customer loyalty
112,Pontiac,8541.49,Up-sized mission-critical complexity
113,Toyota,6609.98,Fully-configurable systemic open system
114,Mitsubishi,432.25,Stand-alone local flexibility
115,Infiniti,1626.95,Down-sized local firmware
116,Chevrolet,8383.25,Seamless user-facing knowledge base
117,Toyota,2728.5,Team-oriented 5th generation service-desk
118,Ford,697.8,Programmable impactful utilisation
119,Ferrari,2231.59,Polarised executive approach
120,Chevrolet,1553.33,Assimilated dedicated pricing structure
121,Toyota,8173.53,Profit-focused exuding architecture
122,Maserati,4883.33,Customizable web-enabled artificial intelligence
123,Jeep,4703.43,Virtual local help-desk
124,Saab,8584.65,Networked responsive capacity
125,Buick,5020.74,Grass-roots clear-thinking moratorium
126,Dodge,2473.41,Streamlined logistical process improvement
127,Cadillac,3018.95,Right-sized incremental support
128,BMW,6467.28,Self-enabling systemic knowledge user
129,Kia,9181.46,Implemented discrete portal
130,Ford,2888.58,Advanced global internet solution
131,Toyota,9297.98,Quality-focused systematic budgetary management
132,Buick,235.15,Inverse high-level matrix
133,Kia,5698.45,Mandatory hybrid array
134,Audi,1021.87,Object-based disintermediate emulation
135,Rolls-Royce,6946.13,Ameliorated attitude-oriented encoding
136,Nissan,8240.13,Enhanced encompassing task-force
137,Chevrolet,8451.41,Phased systematic customer loyalty
138,Chevrolet,939.64,Persevering interactive collaboration
139,Austin,6195.99,Reactive client-driven knowledge base
140,Suzuki,257.16,Realigned zero tolerance matrices
141,Ford,8120.32,Proactive multi-state hierarchy
142,Chevrolet,5100.11,Diverse bottom-line array
143,Dodge,2651.73,Synchronised intermediate attitude
144,Mitsubishi,5230.69,Optimized system-worthy secured line
145,Chevrolet,2238.64,Cross-platform system-worthy success
146,Mercedes-Benz,4845.8,Virtual real-time support
147,Buick,7394.29,Centralized asynchronous task-force
148,Subaru,6923.28,Realigned coherent protocol
149,Chevrolet,8534.17,Inverse regional intranet
150,Land Rover,721.65,Grass-roots context-sensitive local area network
151,Acura,5547.54,Versatile multi-tasking orchestration
152,Subaru,239.46,Front-line 4th generation algorithm
153,Volkswagen,7705.81,Customer-focused zero defect product
154,Nissan,3683.92,Front-line logistical frame
155,Mitsubishi,9955.89,Right-sized optimal task-force
156,Mercedes-Benz,7756.12,Reverse-engineered coherent time-frame
157,Acura,7268.2,Fundamental logistical capability
158,GMC,2712.64,Extended neutral knowledge user
159,Mazda,3577.06,Automated impactful encryption
160,Ford,5785.83,Persevering systematic support
161,Chevrolet,735.47,Re-engineered transitional concept
162,Nissan,7305.83,Multi-channelled mobile protocol
163,Acura,4189.84,Integrated multi-tasking methodology
164,MINI,8741.78,Monitored 5th generation framework
165,Porsche,7802.32,Cross-platform motivating conglomeration
166,GMC,9598.01,Multi-layered contextually-based model
167,Mitsubishi,7194.37,Multi-layered regional core
168,Jeep,8957.03,Front-line full-range Graphic Interface
169,Mitsubishi,3650.02,Fully-configurable even-keeled groupware
170,Ford,7447.87,Open-architected disintermediate budgetary management
171,Ford,9736.59,Ergonomic needs-based encoding
172,Suzuki,1246.48,Reactive 5th generation Graphical User Interface
173,GMC,3214.66,Quality-focused analyzing success
174,Chevrolet,2747.05,Persistent methodical workforce
175,Pontiac,7648.72,Multi-layered real-time contingency
176,Dodge,7063.87,Seamless incremental alliance
177,Mitsubishi,3898.06,Digitized incremental hardware
178,Mercury,5733.54,Streamlined next generation definition
179,Chevrolet,6651.35,Polarised value-added groupware
180,Acura,4854.82,Reverse-engineered bifurcated hierarchy
181,Mercedes-Benz,5303.79,Persevering analyzing budgetary management
182,Infiniti,9503.47,Progressive bandwidth-monitored firmware
183,Chevrolet,7041.43,Grass-roots content-based model
184,Lexus,2880.25,Public-key client-server structure
185,Ford,398.48,Switchable neutral ability
186,Volkswagen,4405.01,Ameliorated systematic focus group
187,Volkswagen,3601.73,Total incremental emulation
188,BMW,1500.69,Phased clear-thinking time-frame
189,Lexus,5922.5,Exclusive executive definition
190,Toyota,4063.48,Stand-alone radical internet solution
191,Ford,5249.35,Universal background implementation
192,Ford,4888.7,Inverse composite support
193,Lexus,8919.46,Versatile user-facing framework
194,Subaru,3382.71,Multi-channelled intermediate help-desk
195,Honda,948.19,Customer-focused even-keeled superstructure
196,Suzuki,6457.37,Versatile coherent utilisation
197,Audi,7825.75,Customizable non-volatile policy
198,Volkswagen,8371.73,Profit-focused global migration
199,GMC,7382.15,Up-sized incremental approach
200,GMC,6342.58,Enhanced zero administration middleware
201,Infiniti,9221.79,Public-key object-oriented productivity
202,Chevrolet,8414.14,Reverse-engineered empowering function
203,Chevrolet,2603.84,Fully-configurable eco-centric paradigm
204,Oldsmobile,7516.43,Innovative responsive ability
205,Lexus,9629.52,Proactive mobile task-force
206,Dodge,337.48,Intuitive multi-state encoding
207,Toyota,7653.66,Right-sized asymmetric alliance
208,Ford,3450.08,Up-sized hybrid throughput
209,Alfa Romeo,5961.85,Virtual grid-enabled productivity
210,GMC,9163.13,Streamlined system-worthy encryption
211,Kia,1439.47,Centralized asymmetric policy
212,Hyundai,872.51,Ameliorated object-oriented leverage
213,Ford,4381.71,Team-oriented non-volatile system engine
214,Mercedes-Benz,3932.53,Adaptive explicit intranet
215,Volkswagen,5800.33,Up-sized asymmetric conglomeration
216,Subaru,4065.34,Monitored impactful complexity
217,Ferrari,3369.16,Focused coherent hub
218,Nissan,6680.65,Organized responsive intranet
219,Mitsubishi,7974.58,Managed bandwidth-monitored infrastructure
220,Scion,7462.29,Assimilated exuding solution
221,Mitsubishi,5712.7,Future-proofed heuristic help-desk
222,Cadillac,8436.02,Integrated optimal model
223,GMC,8727.81,Secured mission-critical attitude
224,GMC,2645.39,Assimilated multimedia instruction set
225,Dodge,704.01,Vision-oriented web-enabled synergy
226,Volkswagen,1912.8,Focused uniform middleware
227,Volkswagen,5153.06,Compatible holistic intranet
228,BMW,844.88,Right-sized homogeneous toolset
229,Mazda,4067.69,Devolved high-level solution
230,Isuzu,7451.53,Expanded empowering internet solution
231,Land Rover,8811.5,Managed background task-force
